INSTRUMENT,COMPANY,MIN TRADED QUANTITY,MARGIN,LONG POSITION SWAP,SHORT POSITION SWAP,MARKET HOURS *
21CenturyFox,Twenty-First Century Fox Inc,10,5%,-0.002636,-0.00113,1:30 pm to 8:00 pm
AA,Alcoa Inc.,20,5%,-0.003139,-0.001345,1:30 pm to 8:00 pm
AAL,Anglo American plc,30,5%,-0.000909,-0.000606,7:00 am to 3:30 pm
AAPL,Apple Inc.,1,5%,-0.014876,-0.006375,1:30 pm to 8:00 pm
AberdeenAM,Aberdeen Asset Management plc,100,5%,-0.000241,-0.000161,7:00 am to 3:30 pm
Abertis,Abertis Infraestructuras S.A.,15,5%,-0.001136,-0.001135,7:00 am to 3:30 pm
AC,ACCOR SA,15,5%,-0.00287,-0.002867,7:00 am to 3:30 pm
ACA,CREDIT AGRICOLE SA,50,5%,-0.000993,-0.000992,7:00 am to 3:30 pm
ADBE,Adobe Systems Incorporated,10,5%,-0.013266,-0.005686,1:30 pm to 8:00 pm
ADP,Automatic Data Processing,10,5%,-0.009587,-0.004109,1:30 pm to 8:00 pm
ADS,adidas AG,5,5%,-0.011994,-0.011985,7:00 am to 3:30 pm
ADSK,Autodesk; Inc.,10,5%,-0.010689,-0.004581,1:30 pm to 8:00 pm
Aegon,AEGON NV,40,5%,-0.000307,-0.000307,7:00 am to 3:30 pm
AGL,AUTOGRILL,75,5%,-0.000733,-0.000732,7:00 am to 3:25 pm
AgnicoEagle,Agnico Eagle Mines Ltd,5,5%,-0.005543,-0.003696,1:30 pm to 8:00 pm
Agrium,Agrium Inc,3,5%,-0.010421,-0.006948,1:30 pm to 8:00 pm
Ahold,Koninklijke Ahold N.V.,20,5%,-0.001399,-0.001398,7:00 am to 3:30 pm
AI,AIR LIQUIDE SA,5,5%,-0.007682,-0.007676,7:00 am to 3:30 pm
AIG,American International Group Inc.,10,5%,-0.005951,-0.00255,1:30 pm to 8:00 pm
Airbus,Airbus Group NV,5,5%,-0.005125,-0.005121,7:00 am to 3:30 pm
AirFranceKLM,Air France KLM SA,100,5%,-0.000646,-0.000646,7:00 am to 3:30 pm
AKAM,Akamai Technologies; Inc.,10,5%,-0.004606,-0.001974,1:30 pm to 8:00 pm
AlaskaAir,Alaska Air Group; Inc.,2,10%,-0.008221,-0.003523,1:30 pm to 8:00 pm
Alibaba,Alibaba Group,5,10%,-0.011975,-0.005132,1:30 pm to 8:00 pm
ALO,ALSTOM SA,20,5%,-0.00214,-0.002139,7:00 am to 3:30 pm
Alrosa,AK Alrosa PAO,100,20%,-0.033973,0.02139,7:00 am to 3:30 pm
ALV,Allianz SE,5,5%,-0.011807,-0.011798,7:00 am to 3:30 pm
AmadeusIT,Amadeus IT Holding SA,10,5%,-0.003599,-0.003596,7:00 am to 3:30 pm
AMAT,Applied Materials; Inc.,30,5%,-0.004283,-0.001836,1:30 pm to 8:00 pm
AMD,Advanced Micro Devices Inc.,10,5%,-0.001108,-0.000475,1:30 pm to 8:00 pm
AmericanAirlines,American Airlines Group Inc,10,5%,-0.004397,-0.001885,1:30 pm to 8:00 pm
AMGN,Amgen Inc,5,5%,-0.015218,-0.006522,1:30 pm to 8:00 pm
AMZN,Amazon.com; Inc,1,5%,-0.093338,-0.040002,1:30 pm to 8:00 pm
AnheuserBusch,Anheuser Busch Inbev SA,3,5%,-0.007335,-0.007329,7:00 am to 3:30 pm
Antofagasta,Antofagasta plc,50,5%,-0.000675,-0.00045,7:00 am to 3:30 pm
ANZ,Australia and New Zealand Banking Group,10,5%,-0.003364,-0.000594,12:03 am to 6:00 am
ASMLholding,ASML Holding NV,2,5%,-0.00837,-0.008363,7:00 am to 3:30 pm
AssecoPoland,Asseco Poland SA,5,10%,-0.005706,-0.001427,7:00 am to 2:45 pm
Astellas,Astellas Pharma Inc,30,5%,-0.102664,-0.094767,11:05 pm to 5:00 am
ATL,ATLANTIA,30,5%,-0.001729,-0.001727,7:00 am to 3:25 pm
AtlasCopco,Atlas Copco AB,10,5%,-0.022123,-0.021947,7:00 am to 3:25 pm
ATVI,Activision Blizzard; Inc.,25,5%,-0.005429,-0.002327,1:30 pm to 8:00 pm
Aviva,Aviva plc,80,5%,-0.000444,-0.000296,7:00 am to 3:30 pm
AXP,American Express Co,5,5%,-0.007462,-0.003198,1:30 pm to 8:00 pm
AZM,AZIMUT HOLDING,20,5%,-0.001334,-0.001333,7:00 am to 3:25 pm
AZN,AstraZeneca plc,10,5%,-0.004267,-0.002845,7:00 am to 3:30 pm
BA,Boeing Co.,5,5%,-0.017563,-0.007527,1:30 pm to 8:00 pm
BAC,Bank of America Corporation,30,5%,-0.00224,-0.00096,1:30 pm to 8:00 pm
BAE,BAE Systems plc,100,5%,-0.000533,-0.000355,7:00 am to 3:30 pm
BancoSantander,Banco Santander SA,30,5%,-0.000405,-0.000405,7:00 am to 3:30 pm
BankHandlowy,Bank Handlowy w Warszawie SA,10,10%,-0.008102,-0.002025,7:00 am to 2:45 pm
BankOfCanada,National Bank of Canada,5,5%,-0.004402,-0.002935,1:30 pm to 8:00 pm
BankOfMontreal,Bank of Montreal,3,5%,-0.007805,-0.005203,1:30 pm to 8:00 pm
BankOfNovaScotia,Bank Of Nova Scotia,5,5%,-0.006284,-0.004189,1:30 pm to 8:00 pm
BankPekao,Bank Pekao SA,5,10%,-0.015553,-0.003888,7:00 am to 2:45 pm
BARC,Barclays plc,200,5%,-0.000177,-0.000118,7:00 am to 3:30 pm
BarrickGold,Barrick Gold Corporation (USA),25,5%,-0.001618,-0.000694,1:30 pm to 8:00 pm
BAS,BASF SE,5,5%,-0.005965,-0.00596,7:00 am to 3:30 pm
BATS,British American Tobacco plc,15,5%,-0.004498,-0.002999,7:00 am to 3:30 pm
BAYN,BAYER AG,5,5%,-0.008113,-0.008106,7:00 am to 3:30 pm
BBBY,Bed Bath & Beyond Inc.,10,5%,-0.003435,-0.001472,1:30 pm to 8:00 pm
BBVA,Banco Bilbao Vizcaya Argentaria SA,25,5%,-0.000514,-0.000514,7:00 am to 3:30 pm
BCE,BCE INC,5,5%,-0.005033,-0.003355,1:30 pm to 8:00 pm
BectonDickinson,Becton; Dickinson and Co,3,5%,-0.017918,-0.007679,1:30 pm to 8:00 pm
BEI,Beiersdorf Aktiengesellschaft,5,5%,-0.006456,-0.006451,7:00 am to 3:30 pm
BIDU,Baidu; Inc.(ADR),5,5%,-0.018357,-0.007868,1:30 pm to 8:00 pm
BLT,BHP Billiton plc,30,5%,-0.001012,-0.000675,7:00 am to 3:30 pm
BMW,BMW AG St,5,5%,-0.006,-0.005995,7:00 am to 3:30 pm
BN,DANONE SA,10,5%,-0.004576,-0.004573,7:00 am to 3:30 pm
BNP,BNP PARIBAS SA,10,5%,-0.004573,-0.004569,7:00 am to 3:30 pm
Boryszew,Boryszew SA,100,10%,-0.001281,-0.00032,7:00 am to 2:45 pm
BP.UK,BP plc,100,5%,-0.000394,-0.000262,7:00 am to 3:30 pm
BPE,BCA POP. EMILIA R.,75,10%,-0.000324,-0.000324,7:00 am to 3:25 pm
Bridgestone,Bridgestone Corp,10,5%,-0.342658,-0.3163,11:05 pm to 5:00 am
BritishLand,British Land Company plc,40,5%,-0.000523,-0.000349,7:00 am to 3:30 pm
BRK.B,Berkshire Hathaway Inc. Class B,5,5%,-0.015862,-0.006798,1:30 pm to 8:00 pm
BrookfieldAsset,Brookfield Asset Management Inc,10,5%,-0.004225,-0.002817,1:30 pm to 8:00 pm
BT,British Telecom Group plc,100,5%,-0.00026,-0.000173,7:00 am to 3:30 pm
Burberry,Burberry Group plc,20,5%,-0.001426,-0.000951,7:00 am to 3:30 pm
BZU,BUZZI UNICEM,30,5%,-0.001608,-0.001606,7:00 am to 3:25 pm
C,Citigroup Inc.,10,5%,-0.005941,-0.002546,1:30 pm to 8:00 pm
CA,CA; Inc.,15,5%,-0.003039,-0.001303,1:30 pm to 8:00 pm
CA.FR,CARREFOUR SA,1,5%,-0.001586,-0.001585,7:00 am to 3:30 pm
CaixaBank,CaixaBank SA,50,5%,-0.000293,-0.000293,7:00 am to 3:30 pm
CanadianPacific,Canadian Pacific Railway Ltd,2,5%,-0.017532,-0.011688,1:30 pm to 8:00 pm
CanadianRailway,Canadian National Railway Co,4,5%,-0.008432,-0.005621,1:30 pm to 8:00 pm
Canon,Canon Inc.,10,5%,-0.272097,-0.251167,11:05 pm to 5:00 am
CAP,CAP GEMINI SA,10,5%,-0.006508,-0.006503,7:00 am to 3:30 pm
Carlsberg,Carlsberg A/S,5,5%,-0.048645,-0.046737,7:00 am to 3:30 pm
CAT,Caterpillar Inc.,5,5%,-0.009955,-0.004266,1:30 pm to 8:00 pm
CBA,Commonwealth Bank of Australia,5,5%,-0.009475,-0.001672,12:03 am to 6:00 am
CBK,Commerzbank AG,40,5%,-0.000662,-0.000661,7:00 am to 3:30 pm
CELG,Celgene Corporation,5,5%,-0.011367,-0.004871,1:30 pm to 8:00 pm
Cenovus,Cenovus Energy Inc,20,5%,-0.00109,-0.000726,1:30 pm to 8:00 pm
Centrica,Centrica plc,100,5%,-0.000168,-0.000112,7:00 am to 3:30 pm
CGI,CGI Group Inc,5,5%,-0.005487,-0.003658,1:30 pm to 8:00 pm
Chipotle,Chipotle Mexican Grill; Inc.,1,5%,-0.047137,-0.020202,1:30 pm to 8:00 pm
CHKP,Check Point Software Technologies Ltd.,10,5%,-0.010541,-0.004518,1:30 pm to 8:00 pm
CHRW,C.H. Robinson Worldwide; Inc.,10,5%,-0.006546,-0.002805,1:30 pm to 8:00 pm
CMCSA,Comcast Corporation,10,5%,-0.003775,-0.001618,1:30 pm to 8:00 pm
Coloplast,Coloplast A/S,5,5%,-0.038746,-0.037226,7:00 am to 3:30 pm
Compass,Compass Group plc,30,5%,-0.001333,-0.000889,7:00 am to 3:30 pm
Constellations,Constellations Software Inc,1,5%,-0.056892,-0.037928,1:30 pm to 8:00 pm
Continental,Continental AG,3,5%,-0.014022,-0.01401,7:00 am to 3:30 pm
CreditSuisse,Credit Suisse Group AG,10,5%,-0.000778,-0.001167,7:00 am to 3:20 pm
CRH,CRH plc,20,5%,-0.00234,-0.00156,7:00 am to 3:30 pm
CS,AXA SA,25,5%,-0.001657,-0.001656,7:00 am to 3:30 pm
CSCO,Cisco Systems,20,5%,-0.003032,-0.0013,1:30 pm to 8:00 pm
CSL,CSL Limited,5,5%,-0.015475,-0.002731,12:03 am to 6:00 am
CTAS,Cintas Corporation,10,5%,-0.011765,-0.005042,1:30 pm to 8:00 pm
CVX,Chevron Corporation,5,5%,-0.010352,-0.004437,1:30 pm to 8:00 pm
DAI,Daimler AG,10,5%,-0.004727,-0.004723,7:00 am to 3:30 pm
Dai-ichi,Dai-ichi Life Insurance Co Ltd,25,5%,-0.130975,-0.1209,11:05 pm to 5:00 am
DanskeBank,Danske Bank A/S,20,5%,-0.017811,-0.017113,7:00 am to 3:30 pm
DB1,Deutsche Borse AG,10,5%,-0.006209,-0.006204,7:00 am to 3:30 pm
DBK,Deutsche Bank AG,15,5%,-0.001189,-0.001188,7:00 am to 3:30 pm
DD,E.I. DuPont de Nemours & Co.,10,5%,-0.007566,-0.003243,1:30 pm to 8:00 pm
DeltaAirLines,Delta Air Lines; Inc.,4,10%,-0.004685,-0.002008,1:30 pm to 8:00 pm
Denso,Denso Corporation,10,5%,-0.343994,-0.317533,11:05 pm to 5:00 am
DG,VINCI SA,10,5%,-0.005318,-0.005313,7:00 am to 3:30 pm
DGE,Diageo plc,30,5%,-0.001907,-0.001272,7:00 am to 3:30 pm
DIA,DIASORIN,1,5%,-0.004721,-0.004717,7:00 am to 3:25 pm
DIS,Walt Disney Co.,5,5%,-0.010449,-0.004478,1:30 pm to 8:00 pm
DNB,DNB ASA,20,5%,-0.012171,-0.008114,7:00 am to 2:20 pm
DPW,Deutsche Post AG,20,5%,-0.002196,-0.002195,7:00 am to 3:30 pm
DTE,Deutsche Telekom AG,40,5%,-0.001236,-0.001235,7:00 am to 3:30 pm
easyJet,easyJet plc,5,10%,-0.001042,-0.000695,7:00 am to 3:30 pm
EBAY,eBay Inc.,10,5%,-0.003289,-0.00141,1:30 pm to 8:00 pm
EDF,EDF SA,20,5%,-0.000643,-0.000642,7:00 am to 3:30 pm
Edwards,Edwards Lifesciences Corp,1,5%,-0.010977,-0.004704,1:30 pm to 8:00 pm
EI,ESSILOR INTERNATIONAL SA,5,5%,-0.008232,-0.008226,7:00 am to 3:30 pm
EN,BOUYGUES SA,15,5%,-0.00261,-0.002608,7:00 am to 3:30 pm
Enbridge,Enbridge Inc,5,5%,-0.004459,-0.002973,1:30 pm to 8:00 pm
Encana,Encana Corp,20,5%,-0.001275,-0.00085,1:30 pm to 8:00 pm
ENEL,ENEL,250,5%,-0.000326,-0.000325,7:00 am to 3:25 pm
ENI,ENI,30,5%,-0.001045,-0.001044,7:00 am to 3:25 pm
EnskildaBank,Skandinaviska Enskilda Banken AB,30,5%,-0.007324,-0.007266,7:00 am to 3:25 pm
EOAN,E.ON AG,40,5%,-0.000514,-0.000513,7:00 am to 3:30 pm
EONRussia,EONRussia OAO,2000,20%,-0.00094,0.000592,7:00 am to 3:30 pm
Ericsson,LM Ericsson AB,30,5%,-0.004053,-0.00402,7:00 am to 3:25 pm
ErsteBank,Erste Group Bank AG,10,5%,-0.002367,-0.002365,7:00 am to 3:30 pm
EXO,EXOR ORD,15,5%,-0.003647,-0.003644,7:00 am to 3:25 pm
EXPE,Expedia; Inc.,5,5%,-0.013765,-0.005899,1:30 pm to 8:00 pm
Experian,Experian plc,30,5%,-0.001355,-0.000903,7:00 am to 3:30 pm
FairFax,Fairfax Financial Holdings Ltd,1,5%,-0.049963,-0.033309,1:30 pm to 8:00 pm
FAST,Fastenal Company,10,5%,-0.004236,-0.001816,1:30 pm to 8:00 pm
FB,Facebook Inc.,10,5%,-0.014391,-0.006168,1:30 pm to 8:00 pm
Ferrari,Ferrari N.V.,1,5%,-0.008103,-0.003473,1:30 pm to 8:00 pm
FiatChrysler,Fiat Chrysler Automobiles,5,5%,-0.00102,-0.000437,1:30 pm to 8:00 pm
FitBit,Fitbit; Inc.,10,5%,-0.000535,-0.000229,1:30 pm to 8:00 pm
FLEX,Flextronics International Ltd.,50,5%,-0.001605,-0.000688,1:30 pm to 8:00 pm
FME,Fresenius Medical Care AG & Co. KGaA St,10,5%,-0.005676,-0.005672,7:00 am to 3:30 pm
FNC,FINMECCANICA,75,5%,-0.001055,-0.001054,7:00 am to 3:25 pm
FORD,Ford Motor Company,30,5%,-0.001056,-0.000453,1:30 pm to 8:00 pm
Fortis,Fortis Inc,10,5%,-0.003637,-0.002425,1:30 pm to 8:00 pm
Fortum,Fortum Oyj,20,5%,-0.000973,-0.000973,7:00 am to 3:30 pm
FP,TOTAL SA,10,5%,-0.003358,-0.003356,7:00 am to 3:30 pm
FrancoNevada,Franco-Nevada Corp,5,5%,-0.00822,-0.00548,1:30 pm to 8:00 pm
FRE,Fresenius SE & Co. KGaA,5,5%,-0.005285,-0.005281,7:00 am to 3:30 pm
Freeport,Freeport-McMoRan Inc,15,5%,-0.00114,-0.000489,1:30 pm to 8:00 pm
FSLR,First Solar; Inc.,10,5%,-0.003536,-0.001515,1:30 pm to 8:00 pm
G,GENERALI,30,10%,-0.001054,-0.001053,7:00 am to 3:25 pm
GasNaturalSDG,Gas Natural SDG SA,10,5%,-0.001505,-0.001504,7:00 am to 3:30 pm
Gazprom,Gazprom PAO,50,20%,-0.046566,0.029319,7:00 am to 3:30 pm
GE,General Electric Co.,20,5%,-0.002727,-0.001169,1:30 pm to 8:00 pm
GeorgeWeston,George Weston Ltd,5,5%,-0.010183,-0.006789,1:30 pm to 8:00 pm
GILD,Gilead Sciences; Inc.,5,5%,-0.006246,-0.002677,1:30 pm to 8:00 pm
GLE,SOCIETE GENERALE SA,10,5%,-0.003468,-0.003465,7:00 am to 3:30 pm
GLEN,Glencore Xstrata plc,150,5%,-0.000247,-0.000164,7:00 am to 3:30 pm
GM,General Motors Company,15,5%,-0.003182,-0.001364,1:30 pm to 8:00 pm
GoDaddy,GoDaddy Inc.,10,5%,-0.003906,-0.001674,1:30 pm to 8:00 pm
Goldcorp,Goldcorp Inc,20,5%,-0.001561,-0.001041,1:30 pm to 8:00 pm
GOOG,Google Inc.,1,5%,-0.090795,-0.038912,1:30 pm to 8:00 pm
GoPro,GoPro Inc,10,5%,-0.000828,-0.000355,1:30 pm to 8:00 pm
GreatWest,Great-West Lifeco Inc,10,5%,-0.00281,-0.001873,1:30 pm to 8:00 pm
Grifols,Grifols SA,5,5%,-0.001752,-0.001751,7:00 am to 3:30 pm
GRMN,Garmin Ltd.,10,5%,-0.004979,-0.002134,1:30 pm to 8:00 pm
GS,Goldman Sachs Group Inc.,5,5%,-0.020938,-0.008974,1:30 pm to 8:00 pm
GSK,GlaxoSmithKline plc,30,5%,-0.001372,-0.000915,7:00 am to 3:30 pm
H&M,H & M Hennes & Mauritz AB,8,5%,-0.015468,-0.015345,7:00 am to 3:25 pm
Halliburton,Halliburton Company,10,5%,-0.004644,-0.00199,1:30 pm to 8:00 pm
HandelsBank,Svenska Handelsbanken AB,8,5%,-0.008698,-0.008629,7:00 am to 3:25 pm
HarleyDavidson,Harley-Davidson Inc,10,5%,-0.005113,-0.002191,1:30 pm to 8:00 pm
HD,Home Depot Inc.,5,5%,-0.0152,-0.006514,1:30 pm to 8:00 pm
HEI,HeidelbergCement AG,10,5%,-0.005773,-0.005768,7:00 am to 3:30 pm
Heineken,Heineken N.V.,5,5%,-0.005991,-0.005986,7:00 am to 3:30 pm
HEN3,Henkel AG & Co. KGaA Vz,5,5%,-0.00859,-0.008583,7:00 am to 3:30 pm
Hitachi,Hitachi; Ltd.,50,5%,-0.048086,-0.044387,11:05 pm to 5:00 am
Honda,Honda Motor Co Ltd,10,5%,-0.221325,-0.2043,11:05 pm to 5:00 am
HPQ,Hewlett-Packard Co.,15,5%,-0.001847,-0.000792,1:30 pm to 8:00 pm
HSBA,HSBC Holdings plc,75,5%,-0.000554,-0.000369,7:00 am to 3:30 pm
Husky,Husky Energy Inc,20,5%,-0.001378,-0.000919,1:30 pm to 8:00 pm
HydroOne,Hydro One Ltd,15,5%,-0.001927,-0.001285,1:30 pm to 8:00 pm
IAG,International Consolidated Airlines Group,80,5%,-0.000495,-0.00033,7:00 am to 3:30 pm
Iberdrola,Iberdrola SA,50,5%,-0.000482,-0.000482,7:00 am to 3:30 pm
IBM,International Business Machines Corp.,5,5%,-0.01477,-0.00633,1:30 pm to 8:00 pm
IFX,Infineon Technologies AG,75,5%,-0.001338,-0.001336,7:00 am to 3:30 pm
ILMN,Illumina; Inc.,5,5%,-0.017206,-0.007374,1:30 pm to 8:00 pm
ImperialBank,Canadian Imperial Bank Of Commerce,3,5%,-0.008885,-0.005924,1:30 pm to 8:00 pm
ImperialOil,Imperial Oil Ltd,10,5%,-0.003268,-0.002179,1:30 pm to 8:00 pm
IMT,Imperial Tobacco Group plc,20,5%,-0.003055,-0.002037,7:00 am to 3:30 pm
Inditex,Inditex SA,2,5%,-0.002498,-0.002496,7:00 am to 3:30 pm
ING,ING Groep NV,25,5%,-0.001048,-0.001047,7:00 am to 3:30 pm
Intact,Intact Financial Corp,3,5%,-0.007762,-0.005175,1:30 pm to 8:00 pm
INTC,Intel Corporation,20,5%,-0.003441,-0.001475,1:30 pm to 8:00 pm
IPG,IMPREGILO,100,10%,-0.000219,-0.000218,7:00 am to 3:25 pm
ISP,INTESA SANPAOLO,250,10%,-0.000196,-0.000196,7:00 am to 3:25 pm
ISRG,Intuitive Surgical; Inc.,1,5%,-0.084647,-0.036277,1:30 pm to 8:00 pm
Itochu,Itochu Corp,30,5%,-0.116675,-0.1077,11:05 pm to 5:00 am
ITV,ITV plc,100,5%,-0.000164,-0.000109,7:00 am to 3:30 pm
JapanTobacco,Japan Tobacco Inc,10,5%,-0.296003,-0.273233,11:05 pm to 5:00 am
JD.com,JD.Com Inc (ADR),20,10%,-0.003993,-0.001711,1:30 pm to 8:00 pm
jetBlue,JetBlue Airways Corporation,5,10%,-0.002069,-0.000887,1:30 pm to 8:00 pm
JNJ,Johnson & Johnson,5,5%,-0.012345,-0.005291,1:30 pm to 8:00 pm
JPM,J.P. Morgan Chase & Co.,10,5%,-0.008241,-0.003532,1:30 pm to 8:00 pm
JSainsbury,J Sainsbury plc,100,5%,-0.000229,-0.000152,7:00 am to 3:30 pm
KBC,KBC Groep NV,5,5%,-0.004562,-0.004558,7:00 am to 3:30 pm
KDDI,KDDI Corp,10,5%,-0.221325,-0.2043,11:05 pm to 5:00 am
KernelHolding,Kernel Holding SA,15,10%,-0.007521,-0.00188,7:00 am to 2:45 pm
KGHMPolska,KGHM Polska Miedz SA,8,10%,-0.012819,-0.003205,7:00 am to 2:45 pm
Kingfisher,Kingfisher plc,100,5%,-0.000306,-0.000204,7:00 am to 3:30 pm
KO,Coca-Cola Co.,15,5%,-0.004267,-0.001829,1:30 pm to 8:00 pm
Komatsu,Komatsu Ltd,20,5%,-0.19175,-0.177,11:05 pm to 5:00 am
KONE,KONE Corporation,10,5%,-0.002985,-0.002982,7:00 am to 3:30 pm
KPN,Royal KPN N.V.,100,5%,-0.000204,-0.000204,7:00 am to 3:30 pm
LafargeHolcim,LafargeHolcim Ltd.,5,5%,-0.003021,-0.004531,7:00 am to 3:20 pm
LasVegasSands,Las Vegas Sands Corp.,10,5%,-0.005521,-0.002366,1:30 pm to 8:00 pm
LBTYA,Liberty Global Inc.,5,5%,-0.002929,-0.001255,1:30 pm to 8:00 pm
LegalGeneral,Legal & General Group plc,100,5%,-0.000208,-0.000138,7:00 am to 3:30 pm
